P0.0,P0
P0.1,P1
P0.2,P2,ADC0_IN0
P0.3,P3,ADC0_IN1
P0.4,P4,ADC0_IN2
P0.5,P5,ADC0_IN3
P0.6,P6
P0.7,P7
P0.8,P8
P0.9,P9
P0.10,P10
P0.11,P11
P0.12,P12
P0.13,P13
P0.14,P14
P0.15,P15
P0.16,P16
P0.17,P17
P0.18,P18
P0.19,P19
P0.20,P20
P0.21,P21
P0.22,P22
P0.23,P23
P0.24,P24
P0.25,P25
P0.26,P26
P0.27,P27
P0.28,P28,ADC0_IN4
P0.29,P29,ADC0_IN5
P0.30,P30,ADC0_IN6
P0.31,P31,ADC0_IN7
P1.0,P32
P1.1,P33
P1.2,P34
P1.3,P35
P1.4,P36
P1.5,P37
P1.6,P38
P1.7,P39
P1.8,P40
P1.9,P41
P1.10,P42
P1.11,P43
P1.12,P44
P1.13,P45
P1.14,P46
P1.15,P47